Date,Day,Month,Day_of_Week,Is_Weekend,Day_Type,Is_Festival,Store_ID,Store_Type,Location_Type,Item_Name,Category,Units_Stocked,Units_Sold,Units_Remaining,Unit_Price,Discount,Revenue,Demand_Level,Suggested_Next_Stock,Store_Type_Encoded,Location_Type_Encoded,Category_Encoded,Day_Type_Encoded,Lag_1_Units_Sold,Lag_1_Revenue,Lag_7_Units_Sold,Lag_7_Revenue,Rolling_Mean_7d_Units_Sold,Rolling_Mean_7d_Revenue,Rolling_Std_7d_Units_Sold,Rolling_Std_7d_Revenue,Sell_Through_Ratio,Stock_Remaining_Ratio,Revenue_Per_Unit_Stocked,Discount_Applied,High_Demand_Flag,Low_Stock_Flag
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Sugar,Non-Perishable,33,30,3,55.43,0.086,1520.02,High,38,1,2,0,0,26.0,1195.07,24.0,1637.83,27.714285714285715,2078.56,10.24230256850294,1775.1532193400467,0.9090909090909091,0.09090909090909091,46.06121212121212,1,1,1
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Salt,Non-Perishable,40,32,8,15.64,0.0,500.34,Medium,40,1,2,0,0,30.0,1520.02,45.0,4646.37,25.857142857142858,1486.27,7.358183005529093,1434.6016738918618,0.8,0.2,12.5085,0,0,0
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Bread,Perishable,10,8,2,51.4,0.0,411.18,Medium,13,1,2,1,0,32.0,500.34,15.0,580.27,24.857142857142858,1462.1142857142856,9.299257522845062,1453.6958528048099,0.8,0.2,41.118,0,0,1
01-01-2025,1,1,2,0,Weekday,0,STORE_001,Small,Urban,Eggs,Perishable,5,4,1,38.55,0.061,144.83,Medium,9,1,2,1,0,8.0,411.18,32.0,4637.98,20.857142857142858,820.2357142857143,11.480832888319725,490.6539761331164,0.8,0.2,28.966,1,0,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Milk,Perishable,4,3,1,27.92,0.0,83.76,Medium,8,1,2,1,1,4.0,144.83,30.0,854.62,17.0,710.1128571428571,12.396235987858036,562.8458697759166,0.75,0.25,20.94,0,0,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Curd,Perishable,6,5,1,58.96,0.101,265.11,Medium,10,1,2,1,1,3.0,83.76,16.0,1115.59,15.428571428571429,588.6157142857143,13.214350064193384,552.4276390278669,0.8333333333333334,0.16666666666666666,44.185,1,0,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Paneer,Perishable,5,5,0,211.54,0.0,1057.7,High,10,1,2,1,1,5.0,265.11,26.0,1195.07,12.428571428571429,568.9914285714286,12.791366135759219,529.2471471322425,1.0,0.0,211.54000000000002,0,1,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Rice,Non-Perishable,51,51,0,67.55,0.0,3444.86,High,61,1,2,0,1,5.0,1057.7,30.0,1520.02,15.428571428571429,843.9685714285714,18.69810278127296,1191.4621933633837,1.0,0.0,67.54627450980392,0,1,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,34,32,2,140.45,0.0,4494.46,High,40,1,2,0,1,51.0,3444.86,32.0,500.34,15.428571428571429,1414.5571428571427,18.69810278127296,1800.300937775999,0.9411764705882353,0.058823529411764705,132.19,0,1,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,37,28,9,28.45,0.095,720.91,Medium,35,1,2,0,1,32.0,4494.46,8.0,411.18,18.285714285714285,1458.8042857142857,18.90074324565294,1775.1608753279904,0.7567567567567568,0.24324324324324326,19.484054054054052,1,0,0
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,25,22,3,158.46,0.0,3486.06,Medium,29,1,2,0,1,28.0,720.91,4.0,144.83,20.857142857142858,1936.122857142857,17.82721301296206,1811.7939073812477,0.88,0.12,139.4424,0,0,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,57,42,15,24.25,0.0,1018.59,Medium,51,1,2,0,1,22.0,3486.06,3.0,83.76,26.428571428571427,2069.6699999999996,17.40552731037991,1682.3276281588753,0.7368421052631579,0.2631578947368421,17.87,0,0,0
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Snacks,Non-Perishable,47,46,1,28.3,0.0,1301.92,High,55,1,2,0,1,42.0,1018.59,5.0,265.11,32.285714285714285,2217.785714285714,15.818915741544838,1536.2721604570065,0.9787234042553191,0.02127659574468085,27.700425531914895,0,1,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Masala,Non-Perishable,31,25,6,94.91,0.081,2180.12,Medium,32,1,2,0,1,46.0,1301.92,5.0,1057.7,35.142857142857146,2378.1314285714284,11.20161552974348,1451.2315178774725,0.8064516129032258,0.1935483870967742,70.32645161290323,1,0,0
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Sugar,Non-Perishable,23,23,0,53.76,0.0,1236.46,High,30,1,2,0,1,25.0,2180.12,51.0,3444.86,31.142857142857142,2062.645714285714,9.459185508075757,1420.400334716204,1.0,0.0,53.75913043478261,0,1,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Salt,Non-Perishable,41,37,4,16.06,0.0,594.4,High,45,1,2,0,1,23.0,1236.46,32.0,4494.46,31.857142857142858,1505.4942857142855,9.71988634070329,1014.4229412143159,0.9024390243902439,0.0975609756097561,14.497560975609755,0,1,1
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Bread,Perishable,15,10,5,34.41,0.0,344.07,Medium,16,1,2,1,1,37.0,594.4,28.0,720.91,29.285714285714285,1451.66,12.802529511966059,1071.3986481697643,0.6666666666666666,0.3333333333333333,22.938,0,0,0
01-02-2025,1,2,5,1,Weekend,0,STORE_001,Small,Urban,Eggs,Perishable,7,6,1,45.22,0.0,271.31,Medium,11,1,2,1,1,10.0,344.07,22.0,3486.06,27.0,992.4100000000001,15.470401847829725,666.5132162730641,0.8571428571428571,0.14285714285714285,38.75857142857143,0,0,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Milk,Perishable,7,4,3,32.11,0.0,128.46,Medium,9,1,2,1,1,6.0,271.31,42.0,1018.59,21.571428571428573,865.2485714285715,15.988090805942024,741.392070419525,0.5714285714285714,0.42857142857142855,18.351428571428574,0,0,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Curd,Perishable,5,4,1,42.86,0.0,171.45,Medium,9,1,2,1,1,4.0,128.46,46.0,1301.92,15.571428571428571,703.7528571428571,12.869306415617277,753.445604489008,0.8,0.2,34.29,0,0,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Paneer,Perishable,4,3,1,184.37,0.0,553.11,Medium,8,1,2,1,1,4.0,171.45,25.0,2180.12,12.428571428571429,471.3228571428572,12.869306415617283,380.9962968198943,0.75,0.25,138.2775,0,0,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Rice,Non-Perishable,34,32,2,69.98,0.131,1946.84,High,40,1,2,0,1,3.0,553.11,23.0,1236.46,13.714285714285714,572.8057142857143,14.453538041073624,631.2122818528659,0.9411764705882353,0.058823529411764705,57.26,1,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,51,51,0,118.64,0.0,6050.58,High,61,1,2,0,1,32.0,1946.84,37.0,594.4,15.714285714285714,1352.26,18.589551596836028,2165.766823244521,1.0,0.0,118.63882352941177,0,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,36,26,10,43.11,0.0,1120.78,Medium,33,1,2,0,1,51.0,6050.58,10.0,344.07,18.0,1463.2185714285715,18.752777572046945,2125.018779457635,0.7222222222222222,0.2777777777777778,31.132777777777775,0,0,0
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,41,41,0,190.55,0.0,7812.6,High,50,1,2,0,1,26.0,1120.78,6.0,271.31,23.0,2540.5457142857144,19.663841605003505,3105.4734194099788,1.0,0.0,190.55121951219513,0,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,42,42,0,24.35,0.0,1022.66,High,51,1,2,0,1,41.0,7812.6,4.0,128.46,28.428571428571427,2668.2885714285717,18.769275806107014,3006.5313025058663,1.0,0.0,24.349047619047617,0,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Snacks,Non-Perishable,30,30,0,79.37,0.063,2231.21,High,38,1,2,0,1,42.0,1022.66,4.0,171.45,32.142857142857146,2962.54,15.399443403670695,2816.2069745492786,1.0,0.0,74.37366666666667,1,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Masala,Non-Perishable,53,50,3,72.44,0.0,3621.89,High,60,1,2,0,1,30.0,2231.21,3.0,553.11,38.857142857142854,3400.937142857143,9.805246409084097,2609.922586800321,0.9433962264150944,0.05660377358490566,68.33754716981132,0,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Sugar,Non-Perishable,68,54,14,49.24,0.0,2658.94,Medium,64,1,2,0,1,50.0,3621.89,32.0,1946.84,42.0,3502.6657142857143,10.723805294763576,2557.1434517827192,0.7941176470588235,0.20588235294117646,39.10205882352941,0,0,0
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Salt,Non-Perishable,25,24,1,18.95,0.0,454.87,High,31,1,2,0,1,54.0,2658.94,51.0,6050.58,38.142857142857146,2703.2785714285715,11.753418955472346,2501.9308769257173,0.96,0.04,18.1948,0,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Bread,Perishable,5,5,0,57.07,0.0,285.37,High,10,1,2,1,1,24.0,454.87,26.0,1120.78,35.142857142857146,2583.934285714286,16.91575765796072,2607.688229031334,1.0,0.0,57.074,0,1,1
01-03-2025,1,3,5,1,Weekend,0,STORE_001,Small,Urban,Eggs,Perishable,8,8,0,34.42,0.0,275.37,High,13,1,2,1,1,5.0,285.37,41.0,7812.6,30.428571428571427,1507.187142857143,19.423843962658736,1333.857841059962,1.0,0.0,34.42125,0,1,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Milk,Perishable,9,9,0,24.03,0.0,216.3,High,14,1,2,1,0,8.0,275.37,42.0,1022.66,25.714285714285715,1391.992857142857,20.138804050177082,1415.0262329807917,1.0,0.0,24.033333333333335,0,1,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Curd,Perishable,9,5,4,59.1,0.0,295.49,Medium,10,1,2,1,0,9.0,216.3,30.0,2231.21,22.142857142857142,1115.4614285714285,21.427619026454096,1412.8305587298685,0.5555555555555556,0.4444444444444444,32.83222222222222,0,0,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Paneer,Perishable,6,4,2,181.01,0.055,684.5,Medium,9,1,2,1,0,5.0,295.49,50.0,3621.89,15.571428571428571,695.8342857142858,18.283482006601346,880.1018996089247,0.6666666666666666,0.3333333333333333,114.08333333333333,1,0,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Rice,Non-Perishable,31,29,2,53.91,0.0,1563.49,High,36,1,2,0,0,4.0,684.5,54.0,2658.94,12.0,539.3414285714287,10.165300454651325,478.7289446868152,0.9354838709677419,0.06451612903225806,50.43516129032258,0,1,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,46,32,14,102.27,0.0,3272.49,Medium,40,1,2,0,0,29.0,1563.49,24.0,454.87,13.142857142857142,941.8585714285715,12.01982489374082,1133.1308952106776,0.6956521739130435,0.30434782608695654,71.14108695652173,0,0,0
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,24,15,9,28.26,0.114,375.46,Medium,21,1,2,0,0,32.0,3272.49,5.0,285.37,14.571428571428571,954.7285714285715,11.472534489773764,1124.9136554335857,0.625,0.375,15.644166666666665,1,0,0
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,53,53,0,156.66,0.0,8302.99,High,63,1,2,0,0,15.0,375.46,8.0,275.37,21.0,2101.531428571429,17.953644012660323,2941.7088229770384,1.0,0.0,156.66018867924527,0,1,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,16,13,3,9.89,0.06,120.9,Medium,19,1,2,0,0,53.0,8302.99,9.0,216.3,21.571428571428573,2087.9028571428566,17.567556677553316,2952.101171085403,0.8125,0.1875,7.55625,1,0,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Snacks,Non-Perishable,24,18,6,21.4,0.0,385.13,Medium,24,1,2,0,0,13.0,120.9,5.0,295.49,23.428571428571427,2100.7085714285713,16.154020581650297,2943.2111600055055,0.75,0.25,16.047083333333333,0,0,0
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Masala,Non-Perishable,44,32,12,110.2,0.0,3526.33,Medium,40,1,2,0,0,18.0,385.13,4.0,684.5,27.428571428571427,2506.684285714285,13.842653200129224,2911.1277130455655,0.7272727272727273,0.2727272727272727,80.14386363636363,0,0,0
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Sugar,Non-Perishable,46,46,0,48.25,0.0,2219.61,High,55,1,2,0,0,32.0,3526.33,29.0,1563.49,29.857142857142858,2600.4157142857143,15.550225844325345,2886.1532787308042,1.0,0.0,48.25239130434783,0,1,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Salt,Non-Perishable,37,37,0,19.29,0.0,713.73,High,45,1,2,0,0,46.0,2219.61,32.0,3272.49,30.571428571428573,2234.878571428571,15.77822489865007,2948.2158957943166,1.0,0.0,19.29,0,1,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Bread,Perishable,6,3,3,56.87,0.0,170.6,Medium,8,1,2,1,0,37.0,713.73,15.0,375.46,28.857142857142858,2205.612857142857,18.215639538855722,2970.681039530129,0.5,0.5,28.433333333333334,0,0,1
02-01-2025,2,1,3,0,Weekday,0,STORE_001,Small,Urban,Eggs,Perishable,9,5,4,49.0,0.0,245.01,Medium,10,1,2,1,0,3.0,170.6,53.0,8302.99,22.0,1054.472857142857,16.573070526208085,1312.7431505403015,0.5555555555555556,0.4444444444444444,27.223333333333333,0,0,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Milk,Perishable,15,12,3,32.64,0.136,338.54,Medium,18,1,2,1,1,5.0,245.01,13.0,120.9,21.857142857142858,1085.5642857142857,16.66761902040973,1289.3152131765808,0.8,0.2,22.569333333333336,1,0,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Curd,Perishable,6,6,0,47.47,0.0,284.84,High,11,1,2,1,1,12.0,338.54,18.0,385.13,20.142857142857142,1071.2371428571428,17.714669734700795,1298.9172822998175,1.0,0.0,47.47333333333333,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Paneer,Perishable,9,9,0,242.03,0.0,2178.23,High,14,1,2,1,1,6.0,284.84,32.0,3526.33,16.857142857142858,878.6514285714285,17.27646348290619,918.4628539654105,1.0,0.0,242.02555555555557,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Rice,Non-Perishable,22,19,3,50.28,0.0,955.29,Medium,25,1,2,0,1,9.0,2178.23,46.0,2219.61,13.0,698.0342857142857,11.84623709594461,711.8976751110886,0.8636363636363636,0.13636363636363635,43.42227272727273,0,0,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,70,70,0,100.27,0.0,7018.69,High,82,1,2,0,1,19.0,955.29,37.0,713.73,17.714285714285715,1598.7428571428572,23.66230677480035,2493.7355041364103,1.0,0.0,100.267,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,31,31,0,42.87,0.0,1329.06,High,39,1,2,0,1,70.0,7018.69,3.0,170.6,21.714285714285715,1764.2371428571428,23.120800777036873,2420.5274528616983,1.0,0.0,42.872903225806446,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,20,19,1,181.13,0.0,3441.42,High,25,1,2,0,1,31.0,1329.06,5.0,245.01,23.714285714285715,2220.867142857143,22.0129831820094,2387.4335392754165,0.95,0.05,172.071,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,53,30,23,25.25,0.0,757.43,Medium,38,1,2,0,1,19.0,3441.42,12.0,338.54,26.285714285714285,2280.7085714285718,21.460927952244486,2337.1085857345793,0.5660377358490566,0.4339622641509434,14.291132075471698,0,0,0
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Snacks,Non-Perishable,22,18,4,51.61,0.0,928.91,Medium,24,1,2,0,1,30.0,757.43,6.0,284.84,28.0,2372.718571428571,20.0,2256.733125253025,0.8181818181818182,0.18181818181818182,42.223181818181814,0,0,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Masala,Non-Perishable,56,56,0,51.85,0.0,2903.64,High,66,1,2,0,1,18.0,928.91,9.0,2178.23,34.714285714285715,2476.3485714285716,20.44271904382491,2262.96059445312,1.0,0.0,51.85071428571428,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Sugar,Non-Perishable,28,25,3,59.66,0.0,1491.47,Medium,32,1,2,0,1,56.0,2903.64,19.0,955.29,35.57142857142857,2552.945714285714,19.789367034320406,2211.381192790734,0.8928571428571429,0.10714285714285714,53.26678571428572,0,0,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Salt,Non-Perishable,46,43,3,20.88,0.0,898.03,High,52,1,2,0,1,25.0,1491.47,70.0,7018.69,31.714285714285715,1678.5657142857144,13.634689651941539,1063.4324915238267,0.9347826086956522,0.06521739130434782,19.522391304347824,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Bread,Perishable,3,3,0,52.72,0.0,158.16,High,8,1,2,1,1,43.0,898.03,31.0,1329.06,27.714285714285715,1511.2942857142857,17.45197491894337,1209.61103666781,1.0,0.0,52.72,0,1,1
02-02-2025,2,2,6,1,Weekend,0,STORE_001,Small,Urban,Eggs,Perishable,10,8,2,46.56,0.0,372.47,Medium,13,1,2,1,1,3.0,158.16,19.0,3441.42,26.142857142857142,1072.8728571428571,18.809825193486617,913.3268124228479,0.8,0.2,37.247,0,0,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Milk,Perishable,4,4,0,22.66,0.0,90.63,High,9,1,2,1,1,8.0,372.47,30.0,757.43,22.428571428571427,977.6157142857144,20.419411865976482,983.7661111913621,1.0,0.0,22.6575,0,1,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Curd,Perishable,9,6,3,44.47,0.0,266.84,Medium,11,1,2,1,1,4.0,90.63,18.0,928.91,20.714285714285715,883.0342857142858,21.336309316235916,1020.3745155718933,0.6666666666666666,0.3333333333333333,29.648888888888887,0,0,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Paneer,Perishable,7,5,2,241.89,0.0,1209.46,Medium,10,1,2,1,1,6.0,266.84,56.0,2903.64,13.428571428571429,641.0085714285714,15.064938796834909,556.8746241129667,0.7142857142857143,0.2857142857142857,172.78,0,0,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Rice,Non-Perishable,53,41,12,73.79,0.0,3025.52,Medium,50,1,2,0,1,5.0,1209.46,25.0,1491.47,15.714285714285714,860.1585714285713,18.034358742081622,1039.7979880635262,0.7735849056603774,0.22641509433962265,57.085283018867926,0,0,0
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Toor Dal,Non-Perishable,31,27,4,140.23,0.0,3786.14,Medium,34,1,2,0,1,41.0,3025.52,43.0,898.03,13.428571428571429,1272.7457142857143,14.706655441864239,1519.6170108490849,0.8709677419354839,0.12903225806451613,122.13354838709677,0,0,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Wheat Flour,Non-Perishable,35,35,0,42.73,0.0,1495.38,High,43,1,2,0,1,27.0,3786.14,3.0,158.16,18.0,1463.777142857143,15.853495934125503,1438.009551529641,1.0,0.0,42.72514285714286,0,1,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Cooking Oil,Non-Perishable,28,23,5,178.91,0.0,4114.96,Medium,30,1,2,0,1,35.0,1495.38,8.0,372.47,20.142857142857142,1998.4185714285716,15.27992769865718,1645.4056178586948,0.8214285714285714,0.17857142857142858,146.96285714285713,0,0,0
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Biscuits,Non-Perishable,50,35,15,26.85,0.0,939.85,Medium,43,1,2,0,1,23.0,4114.96,4.0,90.63,24.571428571428573,2119.735714285714,14.281189759693735,1506.7649189998326,0.7,0.3,18.797,0,0,0
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Snacks,Non-Perishable,29,27,2,79.15,0.0,2137.02,High,34,1,2,0,1,35.0,939.85,6.0,266.84,27.571428571428573,2386.9042857142854,11.702665549026902,1270.7914873791206,0.9310344827586207,0.06896551724137931,73.6903448275862,0,1,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Masala,Non-Perishable,21,16,5,60.18,0.099,867.31,Medium,22,1,2,0,1,27.0,2137.02,5.0,1209.46,29.142857142857142,2338.0257142857145,8.45435925876057,1328.8801030925392,0.7619047619047619,0.23809523809523808,41.30047619047619,1,0,0
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Sugar,Non-Perishable,62,61,1,45.57,0.0,2779.85,High,72,1,2,0,1,16.0,867.31,41.0,3025.52,32.0,2302.93,14.410644214144858,1310.8185936530906,0.9838709677419355,0.016129032258064516,44.836290322580645,0,1,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Salt,Non-Perishable,58,58,0,23.29,0.0,1350.72,High,68,1,2,0,1,61.0,2779.85,27.0,3786.14,36.42857142857143,1955.0128571428572,17.12558653844341,1166.8290309454696,1.0,0.0,23.288275862068964,0,1,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Bread,Perishable,8,8,0,57.18,0.09,416.41,High,13,1,2,1,1,58.0,1350.72,35.0,1495.38,32.57142857142857,1800.8742857142856,20.255510714018403,1301.1959511011037,1.0,0.0,52.05125,1,1,1
02-03-2025,2,3,6,1,Weekend,0,STORE_001,Small,Urban,Eggs,Perishable,12,12,0,47.64,0.0,571.71,High,18,1,2,1,1,8.0,416.41,23.0,4114.96,31.0,1294.695714285714,21.509687739868905,868.0438107195822,1.0,0.0,47.642500000000005,0,1,1
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Milk,Perishable,5,2,3,26.8,0.0,53.59,Low,7,1,2,1,0,12.0,571.71,35.0,939.85,26.285714285714285,1168.087142857143,23.963265537862227,985.1582059533106,0.4,0.6,10.718,0,0,1
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Curd,Perishable,4,2,2,57.9,0.0,115.81,Medium,7,1,2,1,0,2.0,53.59,27.0,2137.02,22.714285714285715,879.342857142857,25.643155589190442,949.3913498081178,0.5,0.5,28.9525,0,0,1
03-01-2025,3,1,4,0,Weekday,0,STORE_001,Small,Urban,Paneer,Perishable,4,2,2,206.41,0.082,378.88,Medium,7,1,2,1,0,2.0,115.81,16.0,867.31,20.714285714285715,809.5671428571429,26.775077253012032,968.1857036181024,0.5,0.5,94.72,1,0,1
